"Algorithm","n","k","Average Swaps","Average Compares","c/n","s/n"
"Dual Pivot Quick Sort","700","10","14818.20000000000072759576141834259033203125","3058.59999999999990905052982270717620849609375","21.168857142857142","4.369428571428571"
"Dual Pivot Quick Sort","700","100","15106.52000000000043655745685100555419921875","3081.989999999999781721271574497222900390625","21.58074285714286","4.402842857142857"
"Dual Pivot Quick Sort","800","1","15363","3228","19.20375","4.035"
"Dual Pivot Quick Sort","800","10","17269.79999999999927240423858165740966796875","3575.5","21.587249999999997","4.469375"
"Dual Pivot Quick Sort","800","100","17639.5999999999985448084771633148193359375","3586.010000000000218278728425502777099609375","22.0495","4.4825125"
"Dual Pivot Quick Sort","900","1","19005","3647","21.116666666666667","4.052222222222222"
"Dual Pivot Quick Sort","900","10","20572.4000000000014551915228366851806640625","4120.5","22.858222222222224","4.578333333333333"
"Dual Pivot Quick Sort","900","100","20361.389999999999417923390865325927734375","4140.510000000000218278728425502777099609375","22.623766666666665","4.6005666666666665"
"Dual Pivot Quick Sort","1000","1","20585","4243","20.585","4.243"
"Dual Pivot Quick Sort","1000","10","22316.29999999999927240423858165740966796875","4556.899999999999636202119290828704833984375","22.3163","4.5569"
"Dual Pivot Quick Sort","1000","100","23116.97999999999956344254314899444580078125","4633.65999999999985448084771633148193359375","23.116979999999998","4.63366"
"Hybrid Sorting Algorithm","100","1","1083","377","10.83","3.77"
"Hybrid Sorting Algorithm","100","10","1306.5","428.1000000000000227373675443232059478759765625","13.065","4.281000000000001"
"Hybrid Sorting Algorithm","100","100","1303.59999999999990905052982270717620849609375","421.720000000000027284841053187847137451171875","13.036","4.2172"
"Hybrid Sorting Algorithm","200","1","3205","1005","16.025","5.025"
"Hybrid Sorting Algorithm","200","10","3249.8000000000001818989403545856475830078125","1012.5","16.249000000000002","5.0625"
"Hybrid Sorting Algorithm","200","100","3244.84999999999990905052982270717620849609375","1012.240000000000009094947017729282379150390625","16.224249999999998","5.0612"
"Hybrid Sorting Algorithm","300","1","4214","1346","14.046666666666667","4.486666666666666"
"Hybrid Sorting Algorithm","300","10","5360.6999999999998181010596454143524169921875","1533.799999999999954525264911353588104248046875","17.869","5.112666666666667"
"Hybrid Sorting Algorithm","300","100","5433.40999999999985448084771633148193359375","1653.359999999999899955582804977893829345703125","18.111366666666665","5.5112"
"Hybrid Sorting Algorithm","400","1","7650","2126","19.125","5.315"
"Hybrid Sorting Algorithm","400","10","7737","2321.8000000000001818989403545856475830078125","19.3425","5.804500000000001"
"Hybrid Sorting Algorithm","400","100","7686.0699999999997089616954326629638671875","2316.2899999999999636202119290828704833984375","19.215175","5.790725"
"Hybrid Sorting Algorithm","500","1","8601","2666","17.202","5.332"
"Hybrid Sorting Algorithm","500","10","9968.79999999999927240423858165740966796875","3110","19.9376","6.22"
"Hybrid Sorting Algorithm","500","100","10018.399999999999636202119290828704833984375","3047.0399999999999636202119290828704833984375","20.0368","6.09408"
"Hybrid Sorting Algorithm","600","1","12364","3011","20.606666666666666","5.0183333333333335"
"Hybrid Sorting Algorithm","600","10","12334.29999999999927240423858165740966796875","3746.6999999999998181010596454143524169921875","20.557166666666664","6.2444999999999995"
"Hybrid Sorting Algorithm","600","100","12485.110000000000582076609134674072265625","3667.90999999999985448084771633148193359375","20.808516666666666","6.113183333333333"
"Hybrid Sorting Algorithm","700","1","13139","4274","18.77","6.105714285714286"
"Hybrid Sorting Algorithm","700","10","15090.100000000000363797880709171295166015625","4606.899999999999636202119290828704833984375","21.557285714285715","6.5812857142857135"
"Hybrid Sorting Algorithm","700","100","15005.940000000000509317032992839813232421875","4447.3000000000001818989403545856475830078125","21.437057142857142","6.353285714285715"
"Hybrid Sorting Algorithm","800","1","16191","3986","20.23875","4.9825"
"Hybrid Sorting Algorithm","800","10","17153.20000000000072759576141834259033203125","4985.899999999999636202119290828704833984375","21.4415","6.232374999999999"
"Hybrid Sorting Algorithm","800","100","17751.70000000000072759576141834259033203125","5258","22.189625","6.5725"
"Hybrid Sorting Algorithm","900","1","19240","5140","21.377777777777776","5.711111111111111"
"Hybrid Sorting Algorithm","900","10","20442.9000000000014551915228366851806640625","6114.8000000000001818989403545856475830078125","22.714333333333336","6.794222222222222"
"Hybrid Sorting Algorithm","900","100","20507.7900000000008731149137020111083984375","5983.350000000000363797880709171295166015625","22.786433333333335","6.6481666666666674"
"Hybrid Sorting Algorithm","1000","1","20168","5754","20.168","5.754"
"Hybrid Sorting Algorithm","1000","10","23237.4000000000014551915228366851806640625","6560.5","23.2374","6.5605"
"Hybrid Sorting Algorithm","1000","100","23228.389999999999417923390865325927734375","6763.4399999999995998223312199115753173828125","23.22839","6.763439999999999"
